month,risk_only_count,shadow_only_count,intersection_count,total_in_circle
2000-09,753,126,44,4016
2000-10,917,165,54,4987
2000-11,1094,188,58,5584
2000-12,1038,246,44,5221
2001-01,914,196,52,4706
2001-02,814,185,65,4261
2001-03,1019,277,72,5322
2001-04,1183,387,123,6429
2001-05,1414,316,96,7877
2001-06,805,223,65,4415
2001-07,765,222,75,3861
2001-08,945,135,80,4134
2001-09,1127,107,69,4560
2001-10,2492,473,140,12710
2001-11,2039,492,133,10695
2001-12,535,312,77,3998
2002-01,820,288,83,5892
2002-02,459,104,43,2568
