month,risk_mail_count,total_mail_count,risk_percentage
2000-09,1111,5908,18.805010155721057
2000-10,1299,7103,18.288047303956077
2000-11,1602,8212,19.50803701899659
2000-12,1584,7747,20.446624499806376
2001-01,1349,7001,19.268675903442364
2001-02,1275,6953,18.337408312958438
2001-03,1626,8246,19.718651467378123
2001-04,1961,10118,19.381300652302826
2001-05,2281,12204,18.690593248115373
2001-06,1365,8644,15.79130032392411
2001-07,1232,5935,20.75821398483572
2001-08,1497,6354,23.55996222851747
2001-09,1746,6946,25.13676936366254
2001-10,3967,18260,21.72508214676889
2001-11,3264,15017,21.735366584537523
2001-12,874,5666,15.42534415813625
2002-01,1364,8374,16.28851206114163
2002-02,717,3749,19.12510002667378
